#run_name            mass#5               cross                
run_01               1.000000e+00         1.817790e-01         
run_02               1.700000e+00         1.663870e-01         
run_03               2.800000e+00         1.516740e-01         
run_04               4.600000e+00         1.380500e-01         
run_05               7.700000e+00         1.225650e-01         
run_06               1.290000e+01         1.077920e-01         
run_07               2.150000e+01         9.253000e-02         
run_08               3.590000e+01         7.746000e-02         
run_09               5.990000e+01         6.196800e-02         
run_10               1.000000e+02         4.575200e-02         
